ticker,currency,company_name,exchange,exchange_short,timezone
TBIRD.AS,USD,International Thunderbird Gaming Corp.,Euronext Amsterdam,AEX,Europe/Amsterdam
TFG.AS,USD,Tetragon Financial Group Limited,Euronext Amsterdam,AEX,Europe/Amsterdam
PBT-U.CN,USD,Portage Biotech Inc.,Canadian Securities Exchange,CNQ,America/Toronto
GGAM-U.CN,USD,Global Gaming Technologies Corp.,Canadian Securities Exchange,CNQ,America/Toronto
TIUM-U.CN,USD,Cansortium Inc.,Canadian Securities Exchange,CNQ,America/Toronto
DIXI-U.CN,USD,Dixie Brands Inc.,Canadian Securities Exchange,CNQ,America/Toronto
ACRG-U.CN,USD,"Acreage Holdings, Inc.",Canadian Securities Exchange,CNQ,America/Toronto
WRLD-U.CN,USD,ICC International Cannabis Corp.,Canadian Securities Exchange,CNQ,America/Toronto
WUTI.L,USD,SSGA SPDR II/SHS USD,London Stock Exchange,LSE,Europe/London
CJPU.L,USD,CS ETF/SHS JPY,London Stock Exchange,LSE,Europe/London
CEMG.L,USD,BLCKROCK AMIL/SHS USD,London Stock Exchange,LSE,Europe/London
MATW.L,USD,MULTI UNITS LUX-L.M/USD,London Stock Exchange,LSE,Europe/London
ISAG.L,USD,ISHS V/SHS USD,London Stock Exchange,LSE,Europe/London
TRSX.L,USD,SSGA SPDR I/SHS USD,London Stock Exchange,LSE,Europe/London
USCO.L,USD,SSGA SPDR I/SHS USD,London Stock Exchange,LSE,Europe/London
AIGA.L,USD,ETFS COMM/AGRICULTURE,London Stock Exchange,LSE,Europe/London
SBRT.L,USD,ETFS COMM/2X DAILY LONG COTTON,London Stock Exchange,LSE,Europe/London
DGRW.L,USD,WISDOMTREE ISSU/SHS USD,London Stock Exchange,LSE,Europe/London
SAD.L,USD,ETFS FORE/SHORT AUD LONG USD,London Stock Exchange,LSE,Europe/London
SG66.L,USD,SG ISSU/JPYUSD X3 DLY LG PERP LEV P,London Stock Exchange,LSE,Europe/London
SSEK.L,USD,ETFS FORE/SHORT SEK LONG USD,London Stock Exchange,LSE,Europe/London
CW8U.L,USD,AMUNDI I.SOL.-MSCI/USD,London Stock Exchange,LSE,Europe/London
IUIT.L,USD,ISHS V/SHS USD,London Stock Exchange,LSE,Europe/London
LCAU.L,USD,MULTI U.LUX-LYX.MSC/EUR,London Stock Exchange,LSE,Europe/London
IUUS.L,USD,ISHS V/SHS USD,London Stock Exchange,LSE,Europe/London
TIP5.L,USD,ISHS II/SHS USD,London Stock Exchange,LSE,Europe/London
VDJP.L,USD,VANGUARD/SHS USD,London Stock Exchange,LSE,Europe/London
SDWD.L,USD,ISHS IV/SHS CL-DISTRG USD,London Stock Exchange,LSE,Europe/London
IEEU.L,USD,ISHS IV/SHS EUR,London Stock Exchange,LSE,Europe/London
XMUD.L,USD,XTRACKERS MSCI USA/USD,London Stock Exchange,LSE,Europe/London
2SIS.L,USD,BST/ASST BKD 20621130 SLV 2X SHR,London Stock Exchange,LSE,Europe/London
LEU3.L,USD,ETFS FORE/3X LONG EUR SHORT USD,London Stock Exchange,LSE,Europe/London
SGBS.L,USD,ETFS META/PHYSICAL SWISS GOLD USD,London Stock Exchange,LSE,Europe/London
IJPA.L,USD,ISHS III/SHS USD,London Stock Exchange,LSE,Europe/London
XNID.L,USD,db x-trackers CNX Nifty UCITS ETF,London Stock Exchange,LSE,Europe/London
